Time,Degree,Frequency
52.663078,140,3.0
57.666157999999996,0,1.0
62.669197999999994,100,0.5
67.67227799999999,20,0.5
72.675358,80,19.5
77.678398,20,0.0
82.681478,40,0.0
87.684518,80,3.0
92.687598,140,3.0
97.69067799999999,60,1.5
102.69371799999999,20,2.0
107.696798,40,1.5
112.699878,40,0.5
117.702918,100,2.5
122.705998,80,24.0
127.70907799999999,140,2.0
132.712118,0,1.5
137.715198,100,42.0
142.718278,160,0.5
147.721318,60,5.0
152.72439799999998,80,0.0
157.727478,120,14.5
162.730558,120,1.0
167.733598,160,0.5
172.73667799999998,0,0.5
177.739758,20,2.5
182.742798,120,17.5
187.745878,100,45.5
192.748958,140,0.5
197.752038,60,2.5
202.755078,0,0.0
207.75815799999998,100,1.5
212.761238,160,0.5
217.764318,160,0.5
222.767358,140,5.0
227.77043799999998,20,1.0
232.773518,0,1.0
237.77659799999998,40,9.5
242.77963799999998,120,6.0
247.782718,20,0.5
252.785798,80,19.5
257.788878,80,0.5
262.79195799999997,40,1.5
267.79499799999996,60,5.0
272.798078,160,0.0
277.801158,100,45.0
282.804238,100,4.0
287.807318,20,1.0
292.810358,140,3.5
297.81343799999996,60,4.0
302.816518,0,0.5
307.819598,20,0.5
312.822678,120,26.0
317.825758,40,4.0
322.828798,140,2.5
327.83187799999996,40,4.0
332.834958,80,7.0
337.838038,120,4.5
342.841118,160,2.0
347.844198,80,36.0
