Time,Degree,Frequency
52.663078,140,6.0
57.666157999999996,0,4.0
62.669197999999994,100,0.0
67.67227799999999,20,0.0
72.675358,80,0.5
77.678398,20,0.0
82.681478,40,0.5
87.684518,80,0.0
92.687598,140,8.0
97.69067799999999,60,1.5
102.69371799999999,20,0.0
107.696798,40,0.5
112.699878,40,0.0
117.702918,100,0.5
122.705998,80,0.0
127.70907799999999,140,21.5
132.712118,0,0.0
137.715198,100,0.5
142.718278,160,6.0
147.721318,60,0.0
152.72439799999998,80,0.0
157.727478,120,0.5
162.730558,120,3.0
167.733598,160,5.5
172.73667799999998,0,0.0
177.739758,20,0.0
182.742798,120,0.5
187.745878,100,0.0
192.748958,140,12.0
197.752038,60,0.5
202.755078,0,0.0
207.75815799999998,100,1.0
212.761238,160,23.5
217.764318,160,6.0
222.767358,140,3.0
227.77043799999998,20,0.0
232.773518,0,1.5
237.77659799999998,40,0.5
242.77963799999998,120,5.5
247.782718,20,0.0
252.785798,80,0.0
257.788878,80,0.0
262.79195799999997,40,0.0
267.79499799999996,60,0.0
272.798078,160,9.5
277.801158,100,0.0
282.804238,100,0.0
287.807318,20,0.0
292.810358,140,11.0
297.81343799999996,60,1.0
302.816518,0,0.5
307.819598,20,1.0
312.822678,120,3.0
317.825758,40,0.5
322.828798,140,16.5
327.83187799999996,40,1.5
332.834958,80,0.0
337.838038,120,9.5
342.841118,160,6.0
347.844198,80,0.0
