Time,Degree,Frequency
52.663078,140,0.0
57.666157999999996,0,5.5
62.669197999999994,100,0.5
67.67227799999999,20,7.0
72.675358,80,3.0
77.678398,20,3.0
82.681478,40,2.0
87.684518,80,1.0
92.687598,140,1.0
97.69067799999999,60,0.5
102.69371799999999,20,5.0
107.696798,40,8.5
112.699878,40,1.0
117.702918,100,0.5
122.705998,80,1.0
127.70907799999999,140,5.5
132.712118,0,9.5
137.715198,100,1.0
142.718278,160,2.5
147.721318,60,2.5
152.72439799999998,80,0.0
157.727478,120,2.0
162.730558,120,3.5
167.733598,160,3.5
172.73667799999998,0,9.5
177.739758,20,8.5
182.742798,120,0.0
187.745878,100,0.0
192.748958,140,2.0
197.752038,60,1.0
202.755078,0,10.0
207.75815799999998,100,0.5
212.761238,160,3.5
217.764318,160,3.5
222.767358,140,0.0
227.77043799999998,20,12.0
232.773518,0,9.0
237.77659799999998,40,12.0
242.77963799999998,120,10.0
247.782718,20,4.5
252.785798,80,0.0
257.788878,80,0.0
262.79195799999997,40,3.0
267.79499799999996,60,1.0
272.798078,160,3.5
277.801158,100,3.0
282.804238,100,1.0
287.807318,20,4.5
292.810358,140,3.5
297.81343799999996,60,18.5
302.816518,0,8.5
307.819598,20,10.0
312.822678,120,2.5
317.825758,40,4.0
322.828798,140,11.0
327.83187799999996,40,6.5
332.834958,80,0.0
337.838038,120,7.5
342.841118,160,8.5
347.844198,80,4.0
