Time,Degree,Frequency
52.663078,140,0.5
57.666157999999996,0,0.0
62.669197999999994,100,0.5
67.67227799999999,20,0.5
72.675358,80,1.0
77.678398,20,0.0
82.681478,40,0.5
87.684518,80,0.5
92.687598,140,0.5
97.69067799999999,60,0.0
102.69371799999999,20,1.0
107.696798,40,1.0
112.699878,40,0.5
117.702918,100,0.0
122.705998,80,3.5
127.70907799999999,140,0.0
132.712118,0,0.0
137.715198,100,4.5
142.718278,160,0.0
147.721318,60,0.5
152.72439799999998,80,0.0
157.727478,120,2.0
162.730558,120,0.0
167.733598,160,0.5
172.73667799999998,0,0.0
177.739758,20,0.0
182.742798,120,1.0
187.745878,100,3.5
192.748958,140,0.0
197.752038,60,0.0
202.755078,0,0.0
207.75815799999998,100,0.0
212.761238,160,0.5
217.764318,160,0.0
222.767358,140,0.0
227.77043799999998,20,0.0
232.773518,0,0.0
237.77659799999998,40,0.5
242.77963799999998,120,0.5
247.782718,20,1.0
252.785798,80,2.0
257.788878,80,0.5
262.79195799999997,40,0.5
267.79499799999996,60,0.5
272.798078,160,0.0
277.801158,100,7.0
282.804238,100,0.0
287.807318,20,0.5
292.810358,140,0.5
297.81343799999996,60,0.5
302.816518,0,0.0
307.819598,20,0.5
312.822678,120,5.5
317.825758,40,3.0
322.828798,140,1.0
327.83187799999996,40,0.0
332.834958,80,1.0
337.838038,120,0.5
342.841118,160,1.5
347.844198,80,5.5
