Time,Degree,Frequency
52.663078,140,10.0
57.666157999999996,0,51.5
62.669197999999994,100,5.0
67.67227799999999,20,7.5
72.675358,80,2.5
77.678398,20,17.5
82.681478,40,5.5
87.684518,80,4.0
92.687598,140,19.5
97.69067799999999,60,1.0
102.69371799999999,20,22.5
107.696798,40,6.0
112.699878,40,7.5
117.702918,100,6.5
122.705998,80,8.0
127.70907799999999,140,10.0
132.712118,0,10.0
137.715198,100,3.5
142.718278,160,29.5
147.721318,60,0.5
152.72439799999998,80,3.5
157.727478,120,6.0
162.730558,120,6.0
167.733598,160,6.0
172.73667799999998,0,45.0
177.739758,20,3.5
182.742798,120,1.0
187.745878,100,2.0
192.748958,140,13.0
197.752038,60,2.0
202.755078,0,56.0
207.75815799999998,100,5.0
212.761238,160,6.0
217.764318,160,26.5
222.767358,140,5.5
227.77043799999998,20,12.5
232.773518,0,6.5
237.77659799999998,40,3.5
242.77963799999998,120,13.0
247.782718,20,21.0
252.785798,80,0.5
257.788878,80,4.5
262.79195799999997,40,3.5
267.79499799999996,60,2.0
272.798078,160,6.5
277.801158,100,9.0
282.804238,100,2.5
287.807318,20,29.0
292.810358,140,10.5
297.81343799999996,60,22.5
302.816518,0,47.5
307.819598,20,5.0
312.822678,120,8.5
317.825758,40,3.0
322.828798,140,8.5
327.83187799999996,40,11.0
332.834958,80,4.5
337.838038,120,10.0
342.841118,160,25.0
347.844198,80,6.0
