Time,Degree,Frequency
52.663078,140,4.0
57.666157999999996,0,1.5
62.669197999999994,100,1.5
67.67227799999999,20,3.0
72.675358,80,5.0
77.678398,20,14.0
82.681478,40,8.5
87.684518,80,9.0
92.687598,140,3.5
97.69067799999999,60,11.5
102.69371799999999,20,11.0
107.696798,40,5.0
112.699878,40,7.5
117.702918,100,0.0
122.705998,80,3.0
127.70907799999999,140,0.0
132.712118,0,6.5
137.715198,100,5.0
142.718278,160,0.5
147.721318,60,3.5
152.72439799999998,80,4.0
157.727478,120,2.0
162.730558,120,0.0
167.733598,160,2.0
172.73667799999998,0,1.0
177.739758,20,1.5
182.742798,120,3.0
187.745878,100,3.0
192.748958,140,0.0
197.752038,60,8.0
202.755078,0,12.0
207.75815799999998,100,0.5
212.761238,160,10.5
217.764318,160,3.0
222.767358,140,3.5
227.77043799999998,20,10.0
232.773518,0,5.0
237.77659799999998,40,16.5
242.77963799999998,120,0.0
247.782718,20,11.0
252.785798,80,7.5
257.788878,80,6.5
262.79195799999997,40,15.5
267.79499799999996,60,10.5
272.798078,160,0.0
277.801158,100,3.0
282.804238,100,0.5
287.807318,20,10.0
292.810358,140,2.0
297.81343799999996,60,13.5
302.816518,0,10.5
307.819598,20,6.0
312.822678,120,5.5
317.825758,40,13.5
322.828798,140,0.5
327.83187799999996,40,10.0
332.834958,80,3.0
337.838038,120,0.0
342.841118,160,4.5
347.844198,80,3.0
