Time,Degree,Frequency
52.663078,140,1.5
57.666157999999996,0,2.0
62.669197999999994,100,1.5
67.67227799999999,20,4.5
72.675358,80,23.5
77.678398,20,3.5
82.681478,40,9.0
87.684518,80,12.0
92.687598,140,7.0
97.69067799999999,60,22.5
102.69371799999999,20,3.0
107.696798,40,12.5
112.699878,40,11.5
117.702918,100,2.5
122.705998,80,15.5
127.70907799999999,140,0.0
132.712118,0,0.5
137.715198,100,14.0
142.718278,160,4.5
147.721318,60,17.0
152.72439799999998,80,7.0
157.727478,120,5.0
162.730558,120,0.5
167.733598,160,0.0
172.73667799999998,0,0.0
177.739758,20,1.5
182.742798,120,11.5
187.745878,100,14.0
192.748958,140,0.5
197.752038,60,22.5
202.755078,0,0.0
207.75815799999998,100,2.0
212.761238,160,2.0
217.764318,160,0.5
222.767358,140,5.5
227.77043799999998,20,8.0
232.773518,0,2.0
237.77659799999998,40,6.5
242.77963799999998,120,0.0
247.782718,20,1.0
252.785798,80,19.5
257.788878,80,17.5
262.79195799999997,40,8.0
267.79499799999996,60,9.0
272.798078,160,0.5
277.801158,100,11.0
282.804238,100,2.0
287.807318,20,2.5
292.810358,140,3.5
297.81343799999996,60,31.5
302.816518,0,1.5
307.819598,20,1.0
312.822678,120,5.5
317.825758,40,5.0
322.828798,140,0.5
327.83187799999996,40,6.0
332.834958,80,25.5
337.838038,120,4.0
342.841118,160,1.0
347.844198,80,12.0
