Time,Degree,Frequency
52.663078,140,49.0
57.666157999999996,0,19.5
62.669197999999994,100,9.0
67.67227799999999,20,4.5
72.675358,80,3.5
77.678398,20,5.0
82.681478,40,5.5
87.684518,80,6.5
92.687598,140,91.5
97.69067799999999,60,1.0
102.69371799999999,20,3.5
107.696798,40,1.0
112.699878,40,4.0
117.702918,100,16.5
122.705998,80,7.0
127.70907799999999,140,62.0
132.712118,0,16.5
137.715198,100,16.0
142.718278,160,69.5
147.721318,60,1.0
152.72439799999998,80,10.0
157.727478,120,28.0
162.730558,120,32.5
167.733598,160,43.0
172.73667799999998,0,19.0
177.739758,20,7.0
182.742798,120,25.5
187.745878,100,6.5
192.748958,140,52.5
197.752038,60,2.5
202.755078,0,27.0
207.75815799999998,100,8.5
212.761238,160,53.5
217.764318,160,60.5
222.767358,140,66.0
227.77043799999998,20,8.5
232.773518,0,19.0
237.77659799999998,40,1.0
242.77963799999998,120,30.0
247.782718,20,2.0
252.785798,80,1.0
257.788878,80,4.0
262.79195799999997,40,1.5
267.79499799999996,60,1.5
272.798078,160,72.5
277.801158,100,6.5
282.804238,100,12.5
287.807318,20,5.5
292.810358,140,72.5
297.81343799999996,60,1.5
302.816518,0,31.5
307.819598,20,6.5
312.822678,120,49.0
317.825758,40,4.5
322.828798,140,52.0
327.83187799999996,40,3.0
332.834958,80,3.5
337.838038,120,39.5
342.841118,160,88.0
347.844198,80,3.0
