Time,Degree,Frequency
52.663078,140,21.0
57.666157999999996,0,11.0
62.669197999999994,100,17.0
67.67227799999999,20,10.0
72.675358,80,21.5
77.678398,20,12.0
82.681478,40,10.0
87.684518,80,18.0
92.687598,140,35.5
97.69067799999999,60,16.0
102.69371799999999,20,11.5
107.696798,40,20.5
112.699878,40,20.5
117.702918,100,21.5
122.705998,80,30.5
127.70907799999999,140,20.5
132.712118,0,15.5
137.715198,100,36.5
142.718278,160,26.0
147.721318,60,25.5
152.72439799999998,80,25.5
157.727478,120,34.0
162.730558,120,21.0
167.733598,160,16.5
172.73667799999998,0,20.5
177.739758,20,17.0
182.742798,120,35.5
187.745878,100,40.5
192.748958,140,21.0
197.752038,60,25.5
202.755078,0,27.5
207.75815799999998,100,32.0
212.761238,160,22.5
217.764318,160,17.5
222.767358,140,44.0
227.77043799999998,20,34.0
232.773518,0,26.5
237.77659799999998,40,35.5
242.77963799999998,120,28.5
247.782718,20,30.0
252.785798,80,46.0
257.788878,80,30.5
262.79195799999997,40,27.0
267.79499799999996,60,29.0
272.798078,160,24.5
277.801158,100,35.5
282.804238,100,30.0
287.807318,20,24.0
292.810358,140,32.0
297.81343799999996,60,18.5
302.816518,0,21.5
307.819598,20,24.0
312.822678,120,31.5
317.825758,40,17.0
322.828798,140,16.0
327.83187799999996,40,21.0
332.834958,80,24.0
337.838038,120,24.0
342.841118,160,23.0
347.844198,80,28.5
